"Year","PgCO2_to_atmos_cumulative_global_alldepths","PgCO2_to_atmos_cumulative_global_200m_less","PgCO2_to_atmos_cumulative_global_200m_greater","PgCO2_to_atmos_cumulative_global_400m_greater","PgCO2_to_atmos_cumulative_global_alldepths_unadjusted","PgCO2_to_atmos_cumulative_global_200m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_400m_greater_unadjusted","PgCO2_to_atmos_cumulative_global_200m_less_unadjusted"
110,61.4905374842087,55.2807561857541,6.20978129845542,2.17197402166639,66.4685727528392,14.6359900385583,7.36815082946192,51.9961811617906
111,62.0505091967135,55.7742858564328,6.2762233402815,2.19727605838779,67.0540638691183,14.7649117498367,7.4330534845873,52.4541916303449
112,62.6105666475849,56.2678267826623,6.3427398649235,2.22263006110443,67.6395549853974,14.893833461115,7.49795613971269,52.9122020988992
113,63.1707087990031,56.7613788146171,6.40932998438682,2.24803540611461,68.2250461016764,15.0227551723933,7.56285879483808,53.3702125674535
114,63.7309346439664,57.2549418078094,6.4759928361578,2.27349148294689,68.8105372179555,15.1516768836717,7.62776144996346,53.8282230360079
115,64.2912432052191,57.7485156228727,6.54272758234725,2.29899769403011,69.3960283342346,15.28059859495,7.69266410508885,54.2862335045622
116,64.8516335342195,58.2421001253544,6.60953340886595,2.32455345437172,69.9815194505136,15.4095203062284,7.75756676021424,54.7442439731165
117,65.4121047101504,58.7356951855209,6.67640952463042,2.3501581912443,70.5670105667927,15.5384420175067,7.82246941533962,55.2022544416708
118,65.9726558389634,59.2293006781669,6.74335516079742,2.37581134387995,71.1525016830718,15.667363728785,7.88737207046501,55.6602649102252
119,66.5332860524633,59.722916482438,6.81036957002616,2.40151236317235,71.7379927993509,15.7962854400634,7.9522747255904,56.1182753787795
120,67.0939945074226,60.2165424816569,6.87745202576653,2.42726071138639,72.3234839156299,15.9252071513417,8.01717738071578,56.5762858473338
121,67.654780384731,60.7101785631593,6.9446018215725,2.45305586187498,72.908975031909,16.0541288626201,8.08208003584117,57.0342963158882
122,68.2156428885752,61.2038246181367,7.01181827043932,2.47889729880306,73.4944661481881,16.1830505738984,8.14698269096656,57.4923067844425
123,68.7765812456483,61.6974805414856,7.07910070416363,2.5047845168785,74.0799572644672,16.3119722851767,8.21188534609194,57.9503172529968
124,69.3375947043872,62.1911462316626,7.14644847272546,2.53071702108965,74.6654483807462,16.4408939964551,8.27678800121733,58.4083277215511
125,69.8986825342369,62.6848215905465,7.21386094369118,2.55669432644963,75.2509394970253,16.5698157077334,8.34169065634272,58.8663381901055
126,70.459844024941,63.1785065233054,7.28133750163642,2.58271595774686,75.8364306133044,16.6987374190117,8.4065933114681,59.3243486586598
127,71.0210784858562,63.6722009382685,7.34887754758857,2.60878144930197,76.4219217295834,16.8276591302901,8.47149596659349,59.7823591272141
128,71.5823852452923,64.1659047468058,7.41648049848741,2.63489034473071,77.0074128458625,16.9565808415684,8.53639862171888,60.2403695957684
129,72.1437636498726,64.6596178632094,7.4841457866639,2.66104219671284,77.5929039621416,17.0855025528468,8.60130127684426,60.6983800643228
130,72.7052130639168,65.1533402045819,7.55187285933584,2.68723656676685,78.1783950784207,17.2144242641251,8.66620393196965,61.1563905328771
131,73.2667328688464,65.6470716907272,7.61966117812006,2.71347302503033,78.7638861946997,17.3433459754034,8.73110658709504,61.6144010014314
132,73.8283224626082,66.1408122440485,7.68751021856063,2.73975115004581,79.3493773109788,17.4722676866818,8.79600924222042,62.0724114699858
133,74.3899812591181,66.6345617894468,7.75541946967219,2.7660705285521,79.9348684272579,17.6011893979601,8.86091189734581,62.5304219385401
134,74.9517086877237,67.1283202542265,7.82338843349811,2.79243075528084,80.520359543537,17.7301111092385,8.9258145524712,62.9884324070944
135,75.5135041926843,67.6220875680022,7.89141662468302,2.81883143275815,81.105850659816,17.8590328205168,8.99071720759659,63.4464428756487
136,76.0753672326688,68.1158636626109,7.95950357005888,2.84527217111144,81.6913417760951,17.9879545317951,9.05561986272197,63.9044533442031
137,76.6372972802698,68.6096484720262,8.02764880824451,2.87175258788101,82.2768328923742,18.1168762430735,9.12052251784736,64.3624638127574
138,77.1992938215341,69.1034419322769,8.09585188925799,2.89827230783648,82.8623240086532,18.2457979543518,9.18542517297275,64.8204742813117
139,77.7613563555085,69.597243981368,8.16411237414138,2.92483096279794,83.4478151249323,18.3747196656301,9.25032782809813,65.2784847498661
140,78.3234843938012,70.0910545592044,8.23242983459763,2.95142819146157,84.0333062412114,18.5036413769085,9.31523048322352,65.7364952184204
141,78.885677460157,70.584873607519,8.30080385263899,2.9780636392299,84.6187973574905,18.6325630881868,9.38013313834891,66.1945056869747
142,79.4479350900472,71.0787010698014,8.3692340202468,3.00473695804622,85.2042884737695,18.7614847994652,9.44503579347429,66.6525161555291
143,80.010256830272,71.5725368912308,8.43771993904218,3.03144780623342,85.7897795900486,18.8904065107435,9.50993844859968,67.1105266240834
144,80.572642238577,72.0663810186106,8.50626121996737,3.05819584833692,86.3752707063277,19.0193282220218,9.57484110372507,67.5685370926377
145,81.1350908832824,72.5602334003061,8.57485748297719,3.08498075497166,86.9607618226068,19.1482499333002,9.63974375885045,68.0265475611921
